12:30:26.096 [main] INFO  r.s.h.course4.hw2course4.Application - Starting Application using Java 17.0.6 with PID 4708 (C:\Users\TK5\IdeaProjects\SkyPro\HW2.Course4\target\classes started by TK5 in C:\Users\TK5\IdeaProjects\SkyPro\HW2.Course4)
12:30:26.102 [main] INFO  r.s.h.course4.hw2course4.Application - No active profile set, falling back to 1 default profile: "default"
12:30:27.098 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
12:30:27.197 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 87 ms. Found 5 JPA repository interfaces.
12:30:27.899 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
12:30:27.910 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
12:30:27.911 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
12:30:27.912 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
12:30:28.053 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
12:30:28.054 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1894 ms
12:30:28.270 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
12:30:28.346 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.2.Final
12:30:28.349 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
12:30:28.552 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
12:30:28.763 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
12:30:28.787 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
12:30:29.011 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@58aa5c94
12:30:29.014 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
12:30:29.090 [main] INFO  org.hibernate.orm.dialect - HHH035001: Using dialect: org.hibernate.dialect.PostgreSQLDialect, version: org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$DialectResolutionInfoImpl@502c087e
12:30:29.462 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
12:30:30.475 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
12:30:30.615 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
12:30:31.049 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
12:30:31.880 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
12:30:32.042 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@51413d02, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@406ea770, org.springframework.security.web.context.SecurityContextHolderFilter@31cae1e4, org.springframework.security.web.header.HeaderWriterFilter@1caff0db, org.springframework.security.web.authentication.logout.LogoutFilter@78181f7f, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6a7c0932, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@553d9329, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@4ad113d6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7b14e7dc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@38e61b69, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@23fed844, org.springframework.security.web.access.ExceptionTranslationFilter@34b294c4, org.springframework.security.web.access.intercept.AuthorizationFilter@7dcd8e74]
12:30:33.026 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
12:30:33.057 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
12:30:33.070 [main] INFO  r.s.h.course4.hw2course4.Application - Started Application in 7.482 seconds (process running for 8.516)
12:32:29.376 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
12:32:29.379 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
12:32:29.383 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
